id,googleTopic,week_id,value
frozen-yogurt,/m/020b3f,2004-01,20
frozen-yogurt,/m/020b3f,2004-02,16
frozen-yogurt,/m/020b3f,2004-03,7
frozen-yogurt,/m/020b3f,2004-04,7
frozen-yogurt,/m/020b3f,2004-05,13
frozen-yogurt,/m/020b3f,2004-06,9
frozen-yogurt,/m/020b3f,2004-07,8
frozen-yogurt,/m/020b3f,2004-08,10
frozen-yogurt,/m/020b3f,2004-09,14
frozen-yogurt,/m/020b3f,2004-10,19
frozen-yogurt,/m/020b3f,2004-11,16
frozen-yogurt,/m/020b3f,2004-12,21
frozen-yogurt,/m/020b3f,2004-13,16
frozen-yogurt,/m/020b3f,2004-14,12
frozen-yogurt,/m/020b3f,2004-15,42
frozen-yogurt,/m/020b3f,2004-16,16
frozen-yogurt,/m/020b3f,2004-17,14
frozen-yogurt,/m/020b3f,2004-18,10
frozen-yogurt,/m/020b3f,2004-19,11
frozen-yogurt,/m/020b3f,2004-20,20
frozen-yogurt,/m/020b3f,2004-21,13
frozen-yogurt,/m/020b3f,2004-22,31
frozen-yogurt,/m/020b3f,2004-23,21
frozen-yogurt,/m/020b3f,2004-24,33
frozen-yogurt,/m/020b3f,2004-25,26
frozen-yogurt,/m/020b3f,2004-26,19
frozen-yogurt,/m/020b3f,2004-27,15
frozen-yogurt,/m/020b3f,2004-28,22
frozen-yogurt,/m/020b3f,2004-29,20
frozen-yogurt,/m/020b3f,2004-30,18
frozen-yogurt,/m/020b3f,2004-31,22
frozen-yogurt,/m/020b3f,2004-32,15
frozen-yogurt,/m/020b3f,2004-33,16
frozen-yogurt,/m/020b3f,2004-34,11
frozen-yogurt,/m/020b3f,2004-35,17
frozen-yogurt,/m/020b3f,2004-36,8
frozen-yogurt,/m/020b3f,2004-37,10
frozen-yogurt,/m/020b3f,2004-38,13
frozen-yogurt,/m/020b3f,2004-39,10
frozen-yogurt,/m/020b3f,2004-40,8
frozen-yogurt,/m/020b3f,2004-41,7
frozen-yogurt,/m/020b3f,2004-42,8
frozen-yogurt,/m/020b3f,2004-43,14
frozen-yogurt,/m/020b3f,2004-44,6
frozen-yogurt,/m/020b3f,2004-45,8
frozen-yogurt,/m/020b3f,2004-46,5
frozen-yogurt,/m/020b3f,2004-47,5
frozen-yogurt,/m/020b3f,2004-48,4
frozen-yogurt,/m/020b3f,2004-49,5
frozen-yogurt,/m/020b3f,2004-50,4
frozen-yogurt,/m/020b3f,2004-51,13
frozen-yogurt,/m/020b3f,2004-52,8
frozen-yogurt,/m/020b3f,2005-01,5
frozen-yogurt,/m/020b3f,2005-02,8
frozen-yogurt,/m/020b3f,2005-03,11
frozen-yogurt,/m/020b3f,2005-04,8
frozen-yogurt,/m/020b3f,2005-05,8
frozen-yogurt,/m/020b3f,2005-06,13
frozen-yogurt,/m/020b3f,2005-07,5
frozen-yogurt,/m/020b3f,2005-08,3
frozen-yogurt,/m/020b3f,2005-09,13
frozen-yogurt,/m/020b3f,2005-10,10
frozen-yogurt,/m/020b3f,2005-11,9
frozen-yogurt,/m/020b3f,2005-12,11
frozen-yogurt,/m/020b3f,2005-13,10
frozen-yogurt,/m/020b3f,2005-14,10
frozen-yogurt,/m/020b3f,2005-15,15
frozen-yogurt,/m/020b3f,2005-16,20
frozen-yogurt,/m/020b3f,2005-17,14
frozen-yogurt,/m/020b3f,2005-18,17
frozen-yogurt,/m/020b3f,2005-19,9
frozen-yogurt,/m/020b3f,2005-20,8
frozen-yogurt,/m/020b3f,2005-21,17
frozen-yogurt,/m/020b3f,2005-22,21
frozen-yogurt,/m/020b3f,2005-23,22
frozen-yogurt,/m/020b3f,2005-24,16
frozen-yogurt,/m/020b3f,2005-25,16
frozen-yogurt,/m/020b3f,2005-26,26
frozen-yogurt,/m/020b3f,2005-27,19
frozen-yogurt,/m/020b3f,2005-28,25
frozen-yogurt,/m/020b3f,2005-29,29
frozen-yogurt,/m/020b3f,2005-30,25
frozen-yogurt,/m/020b3f,2005-31,20
frozen-yogurt,/m/020b3f,2005-32,21
frozen-yogurt,/m/020b3f,2005-33,14
frozen-yogurt,/m/020b3f,2005-34,8
frozen-yogurt,/m/020b3f,2005-35,6
frozen-yogurt,/m/020b3f,2005-36,10
frozen-yogurt,/m/020b3f,2005-37,14
frozen-yogurt,/m/020b3f,2005-38,10
frozen-yogurt,/m/020b3f,2005-39,10
frozen-yogurt,/m/020b3f,2005-40,15
frozen-yogurt,/m/020b3f,2005-41,8
frozen-yogurt,/m/020b3f,2005-42,3
frozen-yogurt,/m/020b3f,2005-43,10
frozen-yogurt,/m/020b3f,2005-44,8
frozen-yogurt,/m/020b3f,2005-45,4
frozen-yogurt,/m/020b3f,2005-46,6
frozen-yogurt,/m/020b3f,2005-47,9
frozen-yogurt,/m/020b3f,2005-48,6
frozen-yogurt,/m/020b3f,2005-49,3
frozen-yogurt,/m/020b3f,2005-50,9
frozen-yogurt,/m/020b3f,2005-51,15
frozen-yogurt,/m/020b3f,2005-52,6
frozen-yogurt,/m/020b3f,2006-01,12
frozen-yogurt,/m/020b3f,2006-02,9
frozen-yogurt,/m/020b3f,2006-03,8
frozen-yogurt,/m/020b3f,2006-04,5
frozen-yogurt,/m/020b3f,2006-05,9
frozen-yogurt,/m/020b3f,2006-06,9
frozen-yogurt,/m/020b3f,2006-07,9
frozen-yogurt,/m/020b3f,2006-08,10
frozen-yogurt,/m/020b3f,2006-09,9
