employee_id,department,employment_year,pension_plan,monthly_salary_sek,working_ratio,training_hours_2024,overtime_hours_2024
1,R&D,2002,1,40384.86,1.0,6,7
2,Finance,2002,1,36883.12,0.8,8,11
3,Logistics,2002,1,33727.23,0.75,3,11
4,Sales,2002,1,45064.26,0.8,15,18
5,IT,2002,1,31236.71,1.0,11,16
6,Operations,2002,1,40173.18,0.9,20,7
7,IT,2002,1,47993.98,0.9,8,20
8,Sales,2002,1,46854.14,0.75,3,5
9,IT,2002,1,41916.88,0.8,20,0
10,Logistics,2002,1,43775.9,0.75,16,1
11,Finance,2002,1,39332.97,0.85,3,11
12,Finance,2002,1,49707.08,0.8,15,11
13,R&D,2002,1,33808.36,0.8,11,6
14,Sales,2002,1,34675.25,0.9,8,9
15,HR,2002,1,39600.16,0.85,20,18
16,Sales,2002,1,44299.86,0.8,17,5
17,Procurement,2002,1,48941.28,0.85,13,16
18,HR,2002,1,31633.92,0.9,16,5
19,Logistics,2002,1,49588.87,0.8,20,14
20,Logistics,2002,1,45529.37,0.8,8,9
21,Operations,2002,1,49700.6,0.9,13,5
22,Finance,2002,1,32469.06,0.85,15,7
23,Procurement,2002,1,30289.37,0.85,2,9
24,HR,2002,1,42476.66,0.85,3,9
25,IT,2002,1,44075.62,1.0,18,16
26,R&D,2002,1,43479.25,0.85,18,19
27,Support,2002,1,32719.83,0.8,18,9
28,Logistics,2002,1,31513.21,0.9,10,6
29,Sales,2002,1,31710.08,1.0,1,5
30,IT,2002,1,39735.95,1.0,1,2
31,Sales,2002,1,44766.08,0.8,6,3
32,Marketing,2002,1,32231.75,0.75,14,10
33,Logistics,2002,1,47975.31,0.8,16,3
34,Sales,2002,1,36749.09,0.9,14,14
35,R&D,2002,1,42230.74,0.85,9,3
36,Operations,2002,1,32338.93,0.9,6,11
37,Procurement,2002,1,47839.71,0.85,15,0
38,Procurement,2002,1,47302.51,0.9,20,5
39,IT,2002,1,39105.57,0.75,6,8
40,Support,2002,1,31144.22,0.85,17,18
41,R&D,2002,1,39790.39,0.9,16,8
42,HR,2002,1,35856.46,0.9,15,12
43,Sales,2002,1,36293.37,0.85,5,10
44,Finance,2002,1,45733.5,1.0,19,19
45,IT,2002,1,48492.64,0.85,13,14
46,Operations,2002,1,38550.72,0.75,5,12
47,IT,2002,1,36461.33,0.8,8,15
48,Procurement,2002,1,47346.72,0.9,5,14
49,IT,2002,1,36207.49,0.8,2,17
50,Procurement,2002,1,42051.19,0.9,19,1
51,Support,2002,1,38744.66,0.75,2,8
52,Logistics,2002,1,35643.84,0.8,8,4
53,HR,2002,1,39011.95,0.75,3,12
54,HR,2002,1,42879.14,0.9,4,19
55,Marketing,2002,1,47730.69,0.8,12,13
